shape_file_name_3,gdp_german_counties_county_name
Greifswald Städte,"Greifswald, Hansestadt, kreisfreie Stadt"
Greiz,"Greiz, Kreis"
Groß-Gerau,"Groß-Gerau, Landkreis"
Günzburg,"Günzburg, Landkreis"
Güstrow,"Güstrow, Landkreis"
Gütersloh,"Gütersloh, Kreis"
Hagen Städte,"Hagen, kreisfreie Stadt"
Halberstadt,"Halberstadt, Kreis"
Halle Städte,"Halle (Saale), kreisfreie Stadt"
Hamburg Städte,"Harburg, Landkreis"
Hamelin-Pyrmont,"Hameln-Pyrmont, Landkreis"
Hamm Städte,"Hamm, kreisfreie Stadt"
Hanover,"Hannover, Landeshauptstadt"
Harburg,
Haßberge,"Haßberge, Landkreis"
Havelland,"Havelland, Landkreis"
Heidelberg Städte,"Heidelberg, Stadtkreis"
Heidenheim,"Heidenheim, Landkreis"
Heilbronn,"Heilbronn, Landkreis"
Heilbronn city Städte,"Heilbronn, Universitätsstadt, Stadtkreis"
Heinsberg,"Heinsberg, Kreis"
Helmstedt,"Helmstedt, Landkreis"
Herford,"Herford, Kreis"
Herne Städte,"Herne, kreisfreie Stadt"
Hersfeld-Rotenburg,"Hersfeld-Rotenburg, Landkreis"
Hildburghausen,"Hildburghausen, Kreis"
Hildesheim,"Hildesheim, Landkreis"
Hochsauerlandkreis,Hochsauerlandkreis
Hochtaunuskreis,Hochtaunuskreis
Hof,Hof
Hof Städte,"Hof, Landkreis"
Hohenlohe,"Hohenlohekreis, Landkreis"
Holzminden,"Holzminden, Landkreis"
Höxter,"Höxter, Kreis"
Ilm-Kreis,Ilm-Kreis
Ingolstadt Städte,Ingolstadt
Jena Städte,"Jena, kreisfreie Stadt"
Jerichower Land,"Jerichower Land, Kreis"
Kaiserslautern,"Jerichower Land, Landkreis"
Kaiserslautern Städte,"Kaiserslautern, kreisfreie Stadt"
Kamenz,"Kamenz, Landkreis"
Karlsruhe,"Karlsruhe, Landkreis"
Karlsruhe Städte,"Karlsruhe, Stadtkreis"
Kassel,"Kassel, kreisfreie Stadt"
Kassel Städte,"Kassel, Landkreis"
Kaufbeuren Städte,Kaufbeuren
Kelheim,"Kelheim, Landkreis"
Kempten Städte,Kempten (Allgäu)
Kiel Städte,"Kiel, Landeshauptstadt, kreisfreie Stadt"
Kitzingen,"Kitzingen, Landkreis"
Koblenz Coblenz Städte,"Koblenz, kreisfreie Stadt"
Konstanz,"Konstanz, Landkreis"
Köthen,"Köthen, Kreis"
Krefeld Städte,"Krefeld, kreisfreie Stadt"
Kronach,"Kronach, Landkreis"
Kulmbach,"Kulmbach, Landkreis"
Kusel,"Kusel, Landkreis"
Kyffhäuserkreis,Kyffhäuserkreis
Lahn-Dill-Kreis,Lahn-Dill-Kreis
Landau Städte,"Landau in der Pfalz, kreisfreie Stadt"
Landsberg,"Landsberg am Lech, Landkreis"
Landshut,Landshut
Landshut Städte,"Landshut, Landkreis"
Lauenburg,
Leer,"Leer, Landkreis"
